nom;num_station;nb_bornettes;En_service;M_en_S_16_nov_07;street;Mot_Directeur;No;Nrivoli;commune;code_insee;X_CC43;Y_CC43;X_WGS84;Y_WGS84
ESPACE SAINT GEORGES;8;24;O;O;RUE PAUL VIDAL;VIDAL (RUE PAUL VIDAL);19;3105556660;Toulouse;31555;1574714,778;2268169,009;1,44812935;43,60321450
CARNOT ROLAND;22;20;O;O;BD LAZARE CARNOT;CARNOT (BD LAZARE CARNOT);24;3105555132;Toulouse;31555;1575004,589;2268131,114;1,45172699;43,60292160
CARNOT -  TROIS JOURNEES;20;27;O;O;BD LAZARE CARNOT;CARNOT (BD LAZARE CARNOT);69;3105555132;Toulouse;31555;1574830,704;2268329,504;1,44952828;43,60467810
CARNOT  - PERI;19;25;O;O;BD LAZARE CARNOT;CARNOT (BD LAZARE CARNOT);62;3105555132;Toulouse;31555;1574821,132;2268384,161;1,44939725;43,60516839
PALAIS NIEL;44;20;O;O;ALL FORAIN FRANCOIS VERDIER;VERDIER (ALL FORAIN FRANCOIS VERDIER);1;3105553396;Toulouse;31555;1574988,364;2267566,737;1,45165489;43,59783992
GARONNETTE;50;23;O;O;AV MAURICE HAURIOU;HAURIOU (AV MAURICE HAURIOU);1;3105555804;Toulouse;31555;1574118,023;2267196,264;1,44096280;43,59436105
PLACE DU SALIN;48;22;O;O;PL DU SALIN;SALIN (PL DU SALIN);18;3105558116;Toulouse;31555;1574364,043;2267237,699;1,44399954;43,59477499
DALBADE - DE GORSSE;26;21;O;O;RUE HENRY DE GORSSE;GORSSE (RUE HENRY DE GORSSE);9;3105554132;Toulouse;31555;1574282,847;2267596,447;1,44291181;43,59798992
PLACE DES CARMES;46;20;O;O;PL DES CARMES;CARMES (PL DES CARMES);37;3105551708;Toulouse;31555;1574472,685;2267529,330;1,44527793;43,59741756
NAZARETH -  LANGUEDOC;47;25;O;O;RUE DU LANGUEDOC;LANGUEDOC (RUE DU LANGUEDOC);12;3105555000;Toulouse;31555;1574476,957;2267286,047;1,44538658;43,59522890
PARGAMINIERES;12;23;O;O;RUE PARGAMINIERES;PARGAMINIERES (RUE PARGAMINIERES);66;3105556540;Toulouse;31555;1574095,733;2268334,740;1,44042508;43,60460278
PLACE ESQUIROL;10;18;O;O;PL ETIENNE ESQUIROL;ESQUIROL (PL ETIENNE ESQUIROL);15;3105553084;Toulouse;31555;1574448,470;2267858,206;1,44490269;43,60037318
STRASBOURG  -  BAYARD;16;21;O;O;BD DE STRASBOURG;STRASBOURG (BD DE STRASBOURG);32;3105558328;Toulouse;31555;1574606,211;2268687,045;1,44666624;43,60785839
FITTE -  CUGNAUX;72;18;O;O;ALL CHARLES DE FITTE;FITTE (ALL CHARLES DE FITTE);23;3105551920;Toulouse;31555;1573440,063;2267295,375;1,43254537;43,59513943
PLACE LANGE;79;19;O;O;PL LANGE;LANGE (PL LANGE);1;3105554996;Toulouse;31555;1573580,516;2267949,259;1,43413356;43,60104748
PLACE INT ST CYPRIEN DARRE;78;17;O;N;PL INTERIEURE ST CYPRIEN;CYPRIEN (PL INTERIEURE ST CYPRIEN);14;3105554336;Toulouse;31555;1573354,070;2267629,513;1,43140333;43,59813198
PLACE INT SAINT CYPRIEN;77;13;O;N;PL INTERIEURE ST CYPRIEN;CYPRIEN (PL INTERIEURE ST CYPRIEN);2;3105554336;Toulouse;31555;1573370,620;2267590,178;1,43161735;43,59778078
FITTE - TEINTURIERS;73;17;O;O;ALL CHARLES DE FITTE;FITTE (ALL CHARLES DE FITTE);40;3105551920;Toulouse;31555;1573410,075;2267426,537;1,43214374;43,59631476
FITTE - VARSI;80;23;O;O;ALL CHARLES DE FITTE;FITTE (ALL CHARLES DE FITTE);89B;3105551920;Toulouse;31555;1573193,238;2267804,096;1,42937136;43,59967605
MUSEUM;67;28;O;N;ALL JULES GUESDE;GUESDE (ALL JULES GUESDE);35;3105554812;Toulouse;31555;1574752,424;2267178,430;1,44882209;43,59430625
SABATIER - PORT ST SAUVEUR;100;19;O;N;ALL PAUL SABATIER;SABATIER (ALL PAUL SABATIER);16;3105556644;Toulouse;31555;1575304,977;2267425,652;1,45560758;43,59662271
REPUBLIQUE - PLACE OLIVIER;76;20;O;N;RUE DE LA REPUBLIQUE;REPUBLIQUE (RUE DE LA REPUBLIQUE);34;3105557428;Toulouse;31555;1573649,362;2267672,061;1,43505005;43,59856446
